f,T0,V0,V1,V2,V3,V4,V5,V6,phi1,phi2,phi3,phi4,phi5,phi6
2_07_O_p000_050_T06_Probe_1_(A1128).csv,6,-0.2972674339397406,1.550881103797575,0.01060992060898402,0.06371288693384469,0.006108177683238375,0.023139792102012977,0.010153177392176948,0.0,3.0146604225452074,6.1135259925774115,5.395664504240385,2.36962864325871,5.593781082941898
2_07_O_p000_100_T06_Probe_1_(A1128).csv,6,-0.19003351687461364,5.749759828238114,0.041167215041741076,0.07435640380900739,0.008487902705090082,0.06847115406012279,0.014578033261849158,0.0,0.8353765556244812,5.246724774543365,5.229435697656403,3.189686172191143,3.8601501116033496
2_07_O_p000_200_T06_Probe_1_(A1128).csv,6,-0.0810177274894186,22.787726970174113,0.2244062918661303,1.1782458586497122,0.04006341287046199,0.07985722919148529,0.18431274787619942,0.0,1.3097046920321167,5.1766450425868396,0.359928388846051,2.4834777387338085,3.8265381952781548
2_07_O_p000_300_T06_Probe_1_(A1128).csv,6,-0.9519294242035166,49.9520392308564,0.4339718721364202,3.1018467685376474,0.17433613179905322,0.17804223962863389,0.06826864422120389,0.0,5.279156441576939,5.382174962167557,3.477193164219598,1.5441813475689714,3.975758796574738
2_07_O_p000_400_T06_Probe_1_(A1128).csv,6,-1.244686312305754,84.01930448806756,0.6302971510525853,5.222959348709008,0.703591989395523,0.7988115323685616,0.6080955658451819,0.0,5.707652852974051,5.383341453830163,1.9160939500262504,1.9516224090856205,4.609827822640719
2_07_O_p000_500_T06_Probe_1_(A1128).csv,6,-0.12736716862140599,118.62801251045082,1.8803590656130673,9.647638732821601,0.7109719958526117,0.9472022067074364,0.6163771242679116,0.0,6.234815828811203,5.420678219550222,1.4156123141123396,3.7508587743313004,1.5215630099252295
2_07_O_p000_600_T06_Probe_1_(A1128).csv,6,0.45767011111395495,159.75475697139117,1.339513773012814,13.14932818622507,0.09769807327909735,0.7402586654768496,0.3135672302668112,0.0,0.17770601324721458,5.239357958146396,3.3429235489700457,4.899055315914697,3.4096752536380706
2_07_O_p000_700_T06_Probe_1_(A1128).csv,6,-0.5881422378755801,202.65975657578335,0.8681291644032463,17.22867157152405,1.4837913892976757,0.924372435055133,0.29277653990714475,0.0,0.08971766304350583,5.1922245468860835,4.571605319749722,4.833459703258055,0.07427872462770656
2_07_O_p000_100_T09_Probe_1_(A1128).csv,9,0.2321095518566768,1.805817373897951,0.023499190799662322,0.36139602240483143,0.008197168127158573,0.010718071267392116,0.011392136432036676,0.0,3.349645094839392,6.07262040205708,0.47038024346590823,5.0151429376919525,1.7845652600964974
2_07_O_p000_200_T09_Probe_1_(A1128).csv,9,0.3443988431177642,10.471363883959043,0.21904232694921213,1.7552071395356923,0.08858282690891865,0.08829912244970212,0.02771653430154363,0.0,5.131877791971053,5.247151783213938,1.522582544342096,2.499325920750687,3.797114390292469
